GrantNumber,OutputId,Event,Date,Place,TargetGroup,Type,Url
156136,227BBD22-B2EB-4CF1-907D-E4A1A2B2BDAA,"Junior Design Research Conference. ""Discovering new Worlds""",2017-11-09,"Zürich, Switzerland",Other administration / public sector,Talk,nan
169222,CA0EAE36-C14D-4466-9762-A8736B59E474,WHO and Religions for Peace global conference on strengthening national responses to health emergencies,2021-10-20,"Geneva/Online, Switzerland",Other administration / public sector,Workshop,https://www.who.int/news-room/events/detail/2021/10/20/default-calendar/who-and-religions-for-peace-global-conference-on-strengthening-national-responses-to-health-emergencies
169222,F70A856F-A9FE-4DE3-B69F-047903BD1D4B,Closing symposium on  the SAMS funding program Research in Palliative Care,2019-11-21,"Bern, Switzerland",Industry / private companies,Talk,nan
176084,AC40A806-D570-41AC-97D8-043DC8966CC7,Training Workshop for the Swiss Age Foundation: Learning with Interactive Videos,2019-10-09,"Olten, Switzerland",Other foundations / NGOs,Self-organised,nan
176084,CD58EF82-54EB-426D-B8B2-B9231275D09E,MSc Summer School: Lernen der Zukunft - Digitale Medien und neue Wissenskulturen,2019-06-24,"Olten, Switzerland, Switzerland",Other administration / public sector,Self-organised,nan
146462,173E8BC9-EEDD-4638-A286-0842EB099C70,Oberlehrer Seminar beider Basel: Evolution zum Zuschauen: Schnelle Anpassung an Parasiten in einem lokalen Teich,2015-03-11,"Basel, Oberlehrer Seminar, Switzerland",Other administration / public sector,Talk,nan
137900,A6006654-E361-41AD-A56B-E5C2DD07DECE,Präsentation der Forschungsergebnisse bei der EDK Schweiz,2016-12-01,"Bern, Switzerland",Other administration / public sector,Workshop,nan
137900,FF5A46E3-8F4B-4CF9-BCC6-B7A75AFD68AD,Europa-Seminar der Berufsschulleitenden (Schweiz; Österreich; Italien/Provinz Bozen; Deutschland/Baden Württemberg,2015-11-09,"Meran, Italy",Other administration / public sector,Talk,nan
169395,7E8674E9-6C89-4459-AA9A-0730BA954418,Ringvorlesung: Domestikation: Aus der freien Wildbahn... in die Zivilisation:   Die Domestikation des Lebens,2017-09-14,"Zurich, Switzerland",Other administration / public sector,Self-organised,nan
124673,9642E53B-51A3-4D15-8566-27FBE3E06DDE,Les images des Alpes dans les récits de voyage. VIATICALPES: la mise en valeur d’un patrimoine exceptionnel au moyen de la base de données VIATIMAGES,2010-03-11,"Burgerbibliothek Bern, Switzerland",Other administration / public sector,Self-organised,http://www.unil.ch/viaticalpes/page90758.html#8
